Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2022 JIF,JIF Quartile,2022 JCI,% of OA Gold
"CYTOLOGIA","CYTOLOGIA","0011-4545","0011-4545","GENETICS & HEREDITY - SCIE","1,087","1","Q4","0.18","29.24"%,
"Twin Research and Human Genetics","TWIN RES HUM GENET","1832-4274","1839-2628","GENETICS & HEREDITY - SCIE","1,968","0.9","Q4","0.58","30.89"%,
"PSYCHIATRIC GENETICS","PSYCHIAT GENET","0955-8829","1473-5873","GENETICS & HEREDITY - SCIE","894","0.9","Q4","0.3","7.41"%,
"Meta Gene","META GENE","N/A","2214-5400","GENETICS & HEREDITY - ESCI","847","0.7","N/A","0.2","1.04"%,
"CLINICAL DYSMORPHOLOGY","CLIN DYSMORPHOL","0962-8827","1473-5717","GENETICS & HEREDITY - SCIE","628","0.7","Q4","0.18","0.71"%,
"Balkan Journal of Medical Genetics","BALK J MED GENET","1311-0160","2199-5761","GENETICS & HEREDITY - SCIE","244","0.6","Q4","0.14","100"%,
"RUSSIAN JOURNAL OF GENETICS","RUSS J GENET+","1022-7954","1608-3369","GENETICS & HEREDITY - SCIE","1,709","0.6","Q4","0.14","0"%,
"Mitochondrial DNA Part B-Resources","MITOCHONDRIAL DNA B","N/A","2380-2359","GENETICS & HEREDITY - SCIE","3,634","0.5","Q4","0.16","98.16"%,
"Cytology and Genetics","CYTOL GENET+","0095-4527","1934-9440","GENETICS & HEREDITY - SCIE","451","0.5","Q4","0.13","0"%,
"GENETICS AND MOLECULAR RESEARCH","GENET MOL RES","N/A","1676-5680","GENETICS & HEREDITY - ESCI","6,533","0.4","N/A","0.09","0"%,
"INTERNATIONAL JOURNAL OF HUMAN GENETICS","INT J HUM GENET","0972-3757","2456-6330","GENETICS & HEREDITY - SCIE","142","0.1","Q4","0.03","83.58"%,
"Genetika-Belgrade","GENETIKA-BELGRADE","0534-0012","1820-6069","GENETICS & HEREDITY - SCIE","822","N/A","N/A","0.45","99.12"%,
"Forensic Science International Genetics Supplement Series","FORENS SCI INT-GEN S","1875-1768","1875-175X","GENETICS & HEREDITY - ESCI","550","N/A","N/A","0.09","N/A",
"Human Gene","HUM GENE","2773-0441","2773-0441","GENETICS & HEREDITY - ESCI","8","N/A","N/A","N/A","0"%,
