Journal Data Filtered By: Selected Categories: DQ Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2020 Selected Category Schema: WOS Selected Open Access: N Indicator:Custom,

Journal name,ISSN,eISSN,Category,Total Citations,2020 JIF,Eigenfactor
Indian Journal of Thoracic and Cardiovascular Surgery,0970-9134,0973-7723,"CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","134",n/a,0.00009,
World Journal for Pediatric and Congenital Heart Surgery,2150-1351,2150-0136,"CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","966",n/a,0.00193,
Indian Heart Journal,0019-4832,2213-3763,"CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","1,934",n/a,0.00279,
Aktuelle Kardiologie,2193-5203,2193-5211,"CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","15",n/a,0.00001,
ARYA Atherosclerosis,1735-3955,2251-6638,"CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","600",n/a,0.00062,
Cardiology Research,1923-2829,1923-2837,"CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","426",n/a,0.00065,
Future Cardiology,1479-6678,1744-8298,"CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","920",n/a,0.00097,
Cardiogenetics,2035-8253,2035-8148,"CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","29",n/a,0.00001,
COR ET VASA,0010-8650,1803-7712,"CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","256",n/a,0.00030,
Open Heart,2053-3624,2053-3624,"CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","2,096",n/a,0.00571,
Turk Kardiyoloji Dernegi Arsivi-Archives of the Turkish Society of Cardiology,1016-5169,1016-5169,"CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","865",n/a,0.00074,
CorSalud,2078-7170,2078-7170,"CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","181",n/a,0.00051,
Kardiologe,1864-9718,1864-9726,"CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","182",n/a,0.00015,

Copyright (c) 2021 Clarivate
By exporting the selected data; you agree to the data usage policy set forth in the Terms of Use
