Journal name	ISSN	eISSN	Category	Total Citations	2020 JIF	JIF Quartile	2020 JCI	% of OA Gold
Arrhythmia & Electrophysiology Review	2050-33692050-3377	"CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI"	"605"	n/a	"n/a"	0.6464.71%	
Clinical Medicine Insights-Cardiology	1179-54681179-5468	"CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI"	"541"	n/a	"n/a"	0.45100.00%	
Journal of Cardiovascular Emergencies	2457-55182457-550X	"CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI"	"40"	n/a	"n/a"	0.20100.00%	
Journal of the Saudi Heart Association	1016-73152212-5043	"CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI"	"428"	n/a	"n/a"	0.23100.00%	
Rational Pharmacotherapy in Cardiology	1819-64462225-3653	"CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI"	"216"	n/a	"n/a"	0.08100.00%	
Research Reports in Clinical Cardiology	1179-84751179-8475	"CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI"	"60"	n/a	"n/a"	0.15100.00%	
Expert Review  of Cardiovascular Therapy	1477-90721744-8344	"CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI"	"2385"	n/a	"n/a"	0.392.33%	
Cardiovascular Endocrinology & Metabolism	2574-09542574-0954	"CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI"	"102"	n/a	"n/a"	0.300.00%	
Cardiovascular Revascularization Medicine	1553-83891878-0938	"CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI"	"1696"	n/a	"n/a"	0.371.37%	
American Journal of Cardiovascular Disease	2160-200X	2160-200X	"CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI"	"474"	n/a	"n/a"	0.350.00%	
Cardiovascular Innovations and Applications	2009-86182009-8782	"CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI"	"35"	n/a	"n/a"	0.04100.00%	
Cardiovascular Intervention and Therapeutics	1868-43001868-4297	"CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI"	"666"	n/a	"n/a"	0.4214.12%	
International Cardiovascular Research Journal	2251-91302251-9149	"CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI"	"126"	n/a	"n/a"	0.060.00%	
Therapeutic Advances in Cardiovascular Disease	1753-94471753-9455	"CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI"	"238"	n/a	"n/a"	0.4649.02%	
Archives of Cardiovascular Diseases Supplements	1878-64801878-6502	"CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI"	"10"	n/a	"n/a"	0.000.00%	
Journal Of Cardiovascular and Thoracic Research	2008-51172008-6830	"CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI"	"486"	n/a	"n/a"	0.29100.00%	
Zeitschrift fur Herz Thorax und Gefasschirurgie	0930-92251435-1277	"CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI"	"35"	n/a	"n/a"	0.043.55%	
Revista de la Federacion Argentina de Cardiologia	0326-646X	1666-5694	"CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI"	"36"	n/a	"n/a"	0.030.00%	
Indian Journal of Thoracic and Cardiovascular Surgery	0970-91340973-7723	"CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI"	"134"	n/a	"n/a"	0.033.15%	
World Journal for Pediatric and Congenital Heart Surgery	2150-13512150-0136	"CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI"	"966"	n/a	"n/a"	0.233.91%	
Indian Heart Journal	0019-48322213-3763	"CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI"	"1934"	n/a	"n/a"	0.32100.00%	
Aktuelle Kardiologie	2193-52032193-5211	"CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI"	"15"	n/a	"n/a"	0.010.00%	
ARYA Atherosclerosis	1735-39552251-6638	"CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI"	"600"	n/a	"n/a"	0.23100.00%	
Cardiology Research	1923-28291923-2837	"CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI"	"426"	n/a	"n/a"	0.2496.26%	
Future Cardiology	1479-66781744-8298	"CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI"	"920"	n/a	"n/a"	0.277.14%	
Cardiogenetics	2035-82532035-8148	"CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI"	"29"	n/a	"n/a"	0.07100.00%	
COR ET VASA	0010-86501803-7712	"CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI"	"256"	n/a	"n/a"	0.0551.47%	
Open Heart	2053-36242053-3624	"CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI"	"2096"	n/a	"n/a"	0.5299.77%	
Turk Kardiyoloji Dernegi Arsivi-Archives of the Turkish Society of Cardiology	1016-51691016-5169	"CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI"	"865"	n/a	"n/a"	0.15100.00%	
CorSalud	2078-71702078-7170	"CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI"	"181"	n/a	"n/a"	0.04100.00%	
Kardiologe	1864-97181864-9726	"CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI"	"182"	n/a	"n/a"	0.172.91%	
