Journal name,JCR Abbreviation,ISSN,eISSN,Category,2022 JIF,2022 JCI,5 Year JIF,JIF Rank,JCI Rank
"JOURNAL OF NUCLEAR CARDIOLOGY","J NUCL CARDIOL","1071-3581","1532-6551","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","2.4","0.83","2.4"," 93/142 "," 64/210 "
"Diabetes & Vascular Disease Research","DIABETES VASC DIS RE","1479-1641","1752-8984","PERIPHERAL VASCULAR DISEASE - SCIE","2.4","0.6","3.1"," 47/67 "," 42/93 "
"Journal of Cardiovascular Development and Disease","J CARDIOVASC DEV DIS","N/A","2308-3425","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","2.4","0.58","3"," 93/142 "," 93/210 "
"MICROCIRCULATION","MICROCIRCULATION","1073-9688","1549-8719","PERIPHERAL VASCULAR DISEASE - SCIE","2.4","0.51","2.4"," 47/67 "," 49/93 "
"CARDIOLOGY CLINICS","CARDIOL CLIN","0733-8651","1558-2264","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","2.4","0.5","2.7"," 93/142 "," 111/210 "
"Cardiovascular Diagnosis and Therapy","CARDIOVASC DIAGN THE","2223-3652","2223-3660","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","2.4","0.47","3.1"," 93/142 "," 117/210 "
"CATHETERIZATION AND CARDIOVASCULAR INTERVENTIONS","CATHETER CARDIO INTE","1522-1946","1522-726X","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","2.3","0.57","2.3"," 97/142 "," 98/210 "
"Annals of Thoracic Medicine","ANN THORAC MED","1817-1737","1998-3557","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","2.3","0.51","2.2"," 97/142 "," 110/210 "
"CURRENT OPINION IN CARDIOLOGY","CURR OPIN CARDIOL","0268-4705","1531-7080","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","2.3","0.39","2.7"," 97/142 "," 134/210 "
"Pregnancy Hypertension-An International Journal of Womens Cardiovascular Health","PREGNANCY HYPERTENS","2210-7789","2210-7789","PERIPHERAL VASCULAR DISEASE - SCIE","2.2","0.66","2.7"," 49/67 "," 36/93 "
"SCANDINAVIAN CARDIOVASCULAR JOURNAL","SCAND CARDIOVASC J","1401-7431","1651-2006","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","2.2","0.4","2"," 100/142 "," 132/210 "
"INTERNATIONAL JOURNAL OF CARDIOVASCULAR IMAGING","INT J CARDIOVAS IMAG","1569-5794","1875-8312","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","2.1","0.55","2.1"," 101/142 "," 103/210 "
"CLINICAL HEMORHEOLOGY AND MICROCIRCULATION","CLIN HEMORHEOL MICRO","1386-0291","1875-8622","PERIPHERAL VASCULAR DISEASE - SCIE","2.1","0.5","1.9"," 50/67 "," 51/93 "
"BMC Cardiovascular Disorders","BMC CARDIOVASC DISOR","1471-2261","1471-2261","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","2.1","0.49","2.4"," 101/142 "," 112/210 "
"Cardiology in Review","CARDIOL REV","1061-5377","1538-4683","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","2.1","0.48","2.3"," 101/142 "," 114/210 "
"JOURNAL OF INTERVENTIONAL CARDIOLOGY","J INTERV CARDIOL","0896-4327","1540-8183","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","2.1","0.42","2.2"," 101/142 "," 126/210 "
"Cardiology Research and Practice","CARDIOL RES PRACT","2090-8016","2090-0597","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","2.1","0.4","2.1"," 101/142 "," 132/210 "
"Journal of Cardiovascular Nursing","J CARDIOVASC NURS","0889-4655","1550-5049","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","2","0.78","2.5"," 106/142 "," 65/210 "
"Netherlands Heart Journal","NETH HEART J","1568-5888","1876-6250","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","2","0.53","2.1"," 106/142 "," 105/210 "
"Cardiovascular Ultrasound","CARDIOVASC ULTRASOUN","N/A","1476-7120","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","1.9","0.45","2.4"," 108/142 "," 120/210 "
"CARDIOLOGY","CARDIOLOGY","0008-6312","1421-9751","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","1.9","0.41","1.8"," 108/142 "," 128/210 "
"International Journal of Hypertension","INT J HYPERTENS","2090-0384","2090-0392","PERIPHERAL VASCULAR DISEASE - SCIE","1.9","0.41","2.5"," 51/67 "," 61/93 "
"ANNALS OF NONINVASIVE ELECTROCARDIOLOGY","ANN NONINVAS ELECTRO","1082-720X","1542-474X","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","1.9","0.39","1.6"," 108/142 "," 134/210 "
"Acta Cardiologica Sinica","ACTA CARDIOL SIN","1011-6842","1011-6842","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","1.9","0.38","1.7"," 108/142 "," 138/210 "
"Journal of Vascular Access","J VASC ACCESS","1129-7298","1724-6032","PERIPHERAL VASCULAR DISEASE - SCIE","1.9","0.3","1.9"," 51/67 "," 71/93 "
"CORONARY ARTERY DISEASE","CORONARY ARTERY DIS","0954-6928","1473-5830","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","1.8","0.43","1.7"," 112/142 "," 124/210 "
"Vasa-European Journal of Vascular Medicine","VASA","0301-1526","1664-2872","PERIPHERAL VASCULAR DISEASE - SCIE","1.8","0.43","1.8"," 53/67 "," 58/93 "
"Cardiovascular Engineering and Technology","CARDIOVASC ENG TECHN","1869-408X","1869-4098","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","1.8","0.41","2.2"," 112/142 "," 128/210 "
"JOURNAL OF INTERVENTIONAL CARDIAC ELECTROPHYSIOLOGY","J INTERV CARD ELECTR","1383-875X","1572-8595","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","1.8","0.41","1.8"," 112/142 "," 128/210 "
"PACE-PACING AND CLINICAL ELECTROPHYSIOLOGY","PACE","0147-8389","1540-8159","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","1.8","0.39","1.8"," 112/142 "," 134/210 "
"Revista Portuguesa de Cardiologia","REV PORT CARDIOL","0870-2551","0304-4750","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","1.8","0.35","1.5"," 112/142 "," 146/210 "
"BLOOD PRESSURE","BLOOD PRESSURE","0803-7051","1651-1999","PERIPHERAL VASCULAR DISEASE - SCIE","1.8","0.31","2.1"," 53/67 "," 69/93 "
"JOURNAL OF VASCULAR RESEARCH","J VASC RES","1018-1172","1423-0135","PERIPHERAL VASCULAR DISEASE - SCIE","1.7","0.51","1.9"," 55/67 "," 49/93 "
"PHLEBOLOGY","PHLEBOLOGY","0268-3555","1758-1125","PERIPHERAL VASCULAR DISEASE - SCIE","1.7","0.44","1.8"," 55/67 "," 57/93 "
"HERZ","HERZ","0340-9937","1615-6692","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","1.7","0.3","1.4"," 117/142 "," 158/210 "
"PEDIATRIC CARDIOLOGY","PEDIATR CARDIOL","0172-0643","1432-1971","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","1.6","0.54","1.9"," 118/142 "," 104/210 "
"JOURNAL OF CARDIAC SURGERY","J CARDIAC SURG","0886-0440","1540-8191","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","1.6","0.48","1.6"," 118/142 "," 114/210 "
"Journal of Cardiothoracic Surgery","J CARDIOTHORAC SURG","N/A","1749-8090","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","1.6","0.47","1.7"," 118/142 "," 117/210 "
"Minerva Cardiology and Angiology","MINERVA CARDIOL ANGI","2724-5683","2724-5772","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","1.6","0.38","1.2"," 118/142 "," 138/210 "
"EUROPEAN HEART JOURNAL SUPPLEMENTS","EUR HEART J SUPPL","1520-765X","1554-2815","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","1.6","0.35","1.6"," 118/142 "," 146/210 "
"ACTA CARDIOLOGICA","ACTA CARDIOL","0001-5385","1784-973X","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","1.6","0.33","1.5"," 118/142 "," 150/210 "
"Atherosclerosis Plus","ATHEROSCLEROSIS PLUS","N/A","N/A","PERIPHERAL VASCULAR DISEASE - SCIE","1.6","0.32","1.6"," 57/67 "," 67/93 "
"THORACIC AND CARDIOVASCULAR SURGEON","THORAC CARDIOV SURG","0171-6425","1439-1902","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","1.5","0.53","1.4"," 124/142 "," 105/210 "
"ANNALS OF VASCULAR SURGERY","ANN VASC SURG","0890-5096","1615-5947","PERIPHERAL VASCULAR DISEASE - SCIE","1.5","0.5","1.5"," 58/67 "," 51/93 "
"HYPERTENSION IN PREGNANCY","HYPERTENS PREGNANCY","1064-1955","1525-6065","PERIPHERAL VASCULAR DISEASE - SCIE","1.5","0.5","2"," 58/67 "," 51/93 "
"HEART AND VESSELS","HEART VESSELS","0910-8327","1615-2573","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","1.5","0.39","1.6"," 124/142 "," 134/210 "
"HEART AND VESSELS","HEART VESSELS","0910-8327","1615-2573","PERIPHERAL VASCULAR DISEASE - SCIE","1.5","0.39","1.6"," 58/67 "," 63/93 "
"International Heart Journal","INT HEART J","1349-2365","1349-3299","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","1.5","0.38","1.5"," 124/142 "," 138/210 "
"ECHOCARDIOGRAPHY-A JOURNAL OF CARDIOVASCULAR ULTRASOUND AND ALLIED TECHNIQUES","ECHOCARDIOGR-J CARD","0742-2822","1540-8175","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","1.5","0.33","1.8"," 124/142 "," 150/210 "
"JOURNAL OF INVASIVE CARDIOLOGY","J INVASIVE CARDIOL","1042-3931","1557-2501","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","1.5","0.33","1.5"," 124/142 "," 150/210 "
"JOURNAL OF CARDIOVASCULAR SURGERY","J CARDIOVASC SURG","0021-9509","1827-191X","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","1.4","0.36","1.5"," 129/142 "," 143/210 "
"JOURNAL OF CARDIOVASCULAR SURGERY","J CARDIOVASC SURG","0021-9509","1827-191X","PERIPHERAL VASCULAR DISEASE - SCIE","1.4","0.36","1.5"," 61/67 "," 64/93 "
"INTERNATIONAL ANGIOLOGY","INT ANGIOL","0392-9590","1827-1839","PERIPHERAL VASCULAR DISEASE - SCIE","1.4","0.31","2"," 61/67 "," 69/93 "
"Annals of Thoracic and Cardiovascular Surgery","ANN THORAC CARDIOVAS","1341-1098","2186-1005","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","1.3","0.48","1.6"," 130/142 "," 114/210 "
"Brazilian Journal of Cardiovascular Surgery","BRAZ J CARDIOV SURG","0102-7638","1678-9741","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","1.3","0.36","1.3"," 130/142 "," 143/210 "
"Journal of Electrocardiology","J ELECTROCARDIOL","0022-0736","1532-8430","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","1.3","0.33","1.4"," 130/142 "," 150/210 "
"Anatolian Journal of Cardiology","ANATOL J CARDIOL","2149-2263","2149-2271","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","1.3","0.3","1.5"," 130/142 "," 158/210 "
"BLOOD PRESSURE MONITORING","BLOOD PRESS MONIT","1359-5237","1473-5725","PERIPHERAL VASCULAR DISEASE - SCIE","1.3","0.28","1.1"," 63/67 "," 73/93 "
"Postepy w Kardiologii Interwencyjnej","POSTEP KARDIOL INTER","1734-9338","1897-4295","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","1.3","0.23","1.3"," 130/142 "," 168/210 "
"General Thoracic and Cardiovascular Surgery","GEN THORAC CARDIOVAS","1863-6705","1863-6713","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","1.2","0.37","1.4"," 135/142 "," 142/210 "
"PERFUSION-UK","PERFUSION-UK","0267-6591","1477-111X","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","1.2","0.3","1.4"," 135/142 "," 158/210 "
"PERFUSION-UK","PERFUSION-UK","0267-6591","1477-111X","PERIPHERAL VASCULAR DISEASE - SCIE","1.2","0.3","1.4"," 64/67 "," 71/93 "
"Vascular","VASCULAR","1708-5381","1708-539X","PERIPHERAL VASCULAR DISEASE - SCIE","1.1","0.21","1.2"," 65/67 "," 78/93 "
"CARDIOLOGY IN THE YOUNG","CARDIOL YOUNG","1047-9511","1467-1107","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","1","0.31","1.1"," 137/142 "," 157/210 "
"Vascular and Endovascular Surgery","VASC ENDOVASC SURG","1538-5744","1938-9116","PERIPHERAL VASCULAR DISEASE - SCIE","0.9","0.27","1"," 66/67 "," 75/93 "
"TEXAS HEART INSTITUTE JOURNAL","TEX HEART I J","0730-2347","1526-6702","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","0.9","0.16","1.4"," 138/142 "," 176/210 "
"Cardiovascular Journal of Africa","CARDIOVASC J AFR","1995-1892","1680-0745","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","0.7","0.17","1"," 139/142 "," 175/210 "
"HEART SURGERY FORUM","HEART SURG FORUM","1098-3511","1522-6662","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","0.6","0.21","0.7"," 140/142 "," 170/210 "
"Artery Research","ARTERY RES","1872-9312","1876-4401","PERIPHERAL VASCULAR DISEASE - SCIE","0.6","0.12","0.8"," 67/67 "," 84/93 "
"KARDIOLOGIYA","KARDIOLOGIYA","0022-9040","N/A","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","0.5","0.12","0.4"," 141/142 "," 186/210 "
"Congenital Heart Disease","CONGENIT HEART DIS","1747-079X","1747-0803","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","0.3","0.35","1.9"," 142/142 "," 146/210 "
