Journal name	ISSN	eISSN	Category	Total Citations	2020 JIF	JIF Quartile	2020 JCI	% of OA Gold
Nano Energy	2211-2855	2211-3282	"NANOSCIENCE & NANOTECHNOLOGY - SCIE; CHEMISTRY	 PHYSICAL - SCIE; MATERIALS SCIENCE	 MULTIDISCIPLINARY - SCIE; PHYSICS	 APPLIED - SCIE"	"74385"	17.881	"Q1; Q1; Q1; Q1"	3.02	2.17%	
Energy Storage Materials	2405-8297	2405-8297	"NANOSCIENCE & NANOTECHNOLOGY - SCIE; CHEMISTRY	 PHYSICAL - SCIE; MATERIALS SCIENCE	 MULTIDISCIPLINARY - SCIE"	"17077"	17.789	"Q1; Q1; Q1"	2.65	1.66%	
Light-Science & Applications	2047-7538	2047-7538	"OPTICS - SCIE"	"11228"	17.782	"Q1"	4.98	100.00%	
Nature Microbiology	2058-5276	2058-5276	"MICROBIOLOGY - SCIE"	"15714"	17.745	"Q1"	4.36	5.05%	
PSYCHOLOGICAL BULLETIN	0033-2909	1939-1455	"PSYCHOLOGY - SCIE; PSYCHOLOGY	 MULTIDISCIPLINARY - SSCI"	"66720"	17.737	"Q1; Q1"	6.28	2.65%	
Science Immunology	2470-9468	2470-9468	"IMMUNOLOGY - SCIE"	"5232"	17.727	"Q1"	3.43	6.10%	
TRENDS IN ECOLOGY & EVOLUTION	0169-5347	1872-8383	"GENETICS & HEREDITY - SCIE; ECOLOGY - SCIE; EVOLUTIONARY BIOLOGY - SCIE"	"44127"	17.712	"Q1; Q1; Q1"	1.73	19.58%	
PSYCHOTHERAPY AND PSYCHOSOMATICS	0033-3190	1423-0348	"PSYCHIATRY - SCIE; PSYCHIATRY - SSCI; PSYCHOLOGY - SCIE"	"6123"	17.659	"Q1; Q1; Q1"	2.81	18.52%	
MMWR-MORBIDITY AND MORTALITY WEEKLY REPORT	0149-2195	1545-861X	"PUBLIC	 ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE"	"31127"	17.586	"Q1"	5.13	0.00%	
INTENSIVE CARE MEDICINE	0342-4642	1432-1238	"CRITICAL CARE MEDICINE - SCIE"	"33510"	17.440	"Q1"	3.08	20.89%	
HEPATOLOGY	0270-9139	1527-3350	"GASTROENTEROLOGY & HEPATOLOGY - SCIE"	"78043"	17.425	"Q1"	3.23	16.05%	
Living Reviews in Solar Physics	2367-3648	1614-4961	"ASTRONOMY & ASTROPHYSICS - SCIE"	"1640"	17.417	"Q1"	2.08	100.00%	
Journal of Hematology & Oncology	N/A	1756-8722	"HEMATOLOGY - SCIE; ONCOLOGY - SCIE"	"10615"	17.388	"Q1; Q1"	2.41	100.00%	
CIRCULATION RESEARCH	0009-7330	1524-4571	"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE; HEMATOLOGY - SCIE; PERIPHERAL VASCULAR DISEASE - SCIE"	"65425"	17.367	"Q1; Q1; Q1"	3.54	12.65%	
National Science Review	2095-5138	2053-714X	"MULTIDISCIPLINARY SCIENCES - SCIE"	"5889"	17.275	"Q1"	1.81	97.10%	
REPORTS ON PROGRESS IN PHYSICS	0034-4885	1361-6633	"PHYSICS	 MULTIDISCIPLINARY - SCIE"	"20866"	17.264	"Q1"	2.11	1.20%	
NEURON	0896-6273	1097-4199	"NEUROSCIENCES - SCIE"	"111115"	17.173	"Q1"	3.61	10.98%	
BASIC RESEARCH IN CARDIOLOGY	0300-8428	1435-1803	"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE"	"5629"	17.165	"Q1"	2.85	39.62%	
ACTA NEUROPATHOLOGICA	0001-6322	1432-0533	"PATHOLOGY - SCIE; NEUROSCIENCES - SCIE; CLINICAL NEUROLOGY - SCIE"	"28031"	17.088	"Q1; Q1; Q1"	4.12	51.70%	
TRENDS IN MICROBIOLOGY	0966-842X	1878-4380	"BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE; MICROBIOLOGY - SCIE"	"17553"	17.079	"Q1; Q1"	1.63	17.98%	
NUCLEIC ACIDS RESEARCH	0305-1048	1362-4962	"BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE"	"248139"	16.971	"Q1"	3.22	100.00%	
Nature Geoscience	1752-0894	1752-0908	"GEOSCIENCES	 MULTIDISCIPLINARY - SCIE"	"31641"	16.908	"Q1"	4.46	0.00%	
Annual Review of Genetics	0066-4197	1545-2948	"GENETICS & HEREDITY - SCIE"	"9053"	16.830	"Q1"	n/a	0.00%	
Advanced Science	N/A	2198-3844	"NANOSCIENCE & NANOTECHNOLOGY - SCIE; MATERIALS SCIENCE	 MULTIDISCIPLINARY - SCIE; CHEMISTRY	 MULTIDISCIPLINARY - SCIE"	"27067"	16.806	"Q1; Q1; Q1"	2.42	100.00%	
TRENDS IN IMMUNOLOGY	1471-4906	1471-4981	"IMMUNOLOGY - SCIE"	"16915"	16.687	"Q1"	1.71	11.76%	
EUROPEAN RESPIRATORY JOURNAL	0903-1936	1399-3003	"RESPIRATORY SYSTEM - SCIE"	"53361"	16.671	"Q1"	2.97	19.81%	
Academy of Management Annals	1941-6520	1941-6067	"BUSINESS - SSCI; MANAGEMENT - SSCI"	"6851"	16.438	"Q1; Q1"	4.12	0.00%	
Nano-Micro Letters	2311-6706	2150-5551	"NANOSCIENCE & NANOTECHNOLOGY - SCIE; MATERIALS SCIENCE	 MULTIDISCIPLINARY - SCIE; PHYSICS	 APPLIED - SCIE"	"5972"	16.419	"Q1; Q1; Q1"	2.12	100.00%	
FEMS MICROBIOLOGY REVIEWS	0168-6445	1574-6976	"MICROBIOLOGY - SCIE"	"16279"	16.408	"Q1"	1.77	41.80%	
IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE	0162-8828	1939-3539	"ENGINEERING	 ELECTRICAL & ELECTRONIC - SCIE; COMPUTER SCIENCE	 ARTIFICIAL INTELLIGENCE - SCIE"	"59682"	16.389	"Q1; Q1"	5.24	0.00%	
Annual Review of Materials Research	1531-7331	1545-4118	"MATERIALS SCIENCE	 MULTIDISCIPLINARY - SCIE"	"9204"	16.286	"Q1"	n/a	0.00%	
PROGRESS IN PARTICLE AND NUCLEAR PHYSICS	0146-6410	1873-2224	"PHYSICS	 PARTICLES & FIELDS - SCIE; PHYSICS	 NUCLEAR - SCIE"	"4714"	16.281	"Q1; Q1"	2.63	6.60%	
MOLECULAR BIOLOGY AND EVOLUTION	0737-4038	1537-1719	"BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE; GENETICS & HEREDITY - SCIE; EVOLUTIONARY BIOLOGY - SCIE"	"61557"	16.240	"Q1; Q1; Q1"	2.87	56.17%	
PROGRESS IN LIPID RESEARCH	0163-7827	1873-2194	"BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE; NUTRITION & DIETETICS - SCIE"	"7328"	16.195	"Q1; Q1"	1.76	11.27%	
JAMA Pediatrics	2168-6203	2168-6211	"PEDIATRICS - SCIE"	"14720"	16.193	"Q1"	5.86	9.78%	
Annual Review of Condensed Matter Physics	1947-5454	1947-5462	"PHYSICS	 CONDENSED MATTER - SCIE"	"4103"	16.109	"Q1"	n/a	0.00%	
STUDIES IN MYCOLOGY	0166-0616	1872-9797	"MYCOLOGY - SCIE"	"4285"	16.097	"Q1"	5.63	100.00%	
Autophagy	1554-8627	1554-8635	"CELL BIOLOGY - SCIE"	"25343"	16.016	"Q1"	1.71	9.84%	
MOLECULAR PSYCHIATRY	1359-4184	1476-5578	"BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE; PSYCHIATRY - SCIE; NEUROSCIENCES - SCIE"	"28622"	15.992	"Q1; Q1; Q1"	3.21	42.45%	
ACS Nano	1936-0851	1936-086X	"NANOSCIENCE & NANOTECHNOLOGY - SCIE; CHEMISTRY	 PHYSICAL - SCIE; MATERIALS SCIENCE	 MULTIDISCIPLINARY - SCIE; CHEMISTRY	 MULTIDISCIPLINARY - SCIE"	"195525"	15.881	"Q1; Q1; Q1; Q1"	2.47	6.17%	
CELL DEATH AND DIFFERENTIATION	1350-9047	1476-5403	"BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE; CELL BIOLOGY - SCIE"	"27701"	15.828	"Q1; Q1"	2.08	42.77%	
Nature Plants	2055-026X	2055-0278	"PLANT SCIENCES - SCIE"	"9424"	15.793	"Q1"	4.63	4.59%	
Physical Review X	2160-3308	2160-3308	"PHYSICS	 MULTIDISCIPLINARY - SCIE"	"22327"	15.762	"Q1"	4.53	100.00%	
SEMINARS IN CANCER BIOLOGY	1044-579X	1096-3650	"ONCOLOGY - SCIE"	"11552"	15.707	"Q1"	1.75	15.97%	
SYSTEMATIC BIOLOGY	1063-5157	1076-836X	"EVOLUTIONARY BIOLOGY - SCIE"	"19416"	15.683	"Q1"	2.91	29.33%	
HUMAN REPRODUCTION UPDATE	1355-4786	1460-2369	"OBSTETRICS & GYNECOLOGY - SCIE; REPRODUCTIVE BIOLOGY - SCIE"	"12334"	15.610	"Q1; Q1"	3.47	18.85%	
Journal of Thoracic Oncology	1556-0864	1556-1380	"ONCOLOGY - SCIE; RESPIRATORY SYSTEM - SCIE"	"24405"	15.609	"Q1; Q1"	2.75	16.47%	
Matter	2590-2393	2590-2385	"MATERIALS SCIENCE	 MULTIDISCIPLINARY - SCIE"	"2357"	15.589	"Q1"	2.16	7.33%	
QUARTERLY JOURNAL OF ECONOMICS	0033-5533	1531-4650	"ECONOMICS - SSCI"	"38427"	15.563	"Q1"	6.18	14.17%	
EUROPEAN JOURNAL OF HEART FAILURE	1388-9842	1879-0844	"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE"	"17114"	15.534	"Q1"	3.17	26.53%	
Nature Machine Intelligence	N/A	2522-5839	"COMPUTER SCIENCE	 ARTIFICIAL INTELLIGENCE - SCIE; COMPUTER SCIENCE	 INTERDISCIPLINARY APPLICATIONS - SCIE"	"1212"	15.508	"Q1; Q1"	3.14	0.00%	
Annual Review of Microbiology	0066-4227	1545-3251	"MICROBIOLOGY - SCIE"	"12031"	15.500	"Q1"	n/a	0.00%	
ADVANCED DRUG DELIVERY REVIEWS	0169-409X	1872-8294	"PHARMACOLOGY & PHARMACY - SCIE"	"43769"	15.470	"Q1"	2.38	10.47%	
Nature Ecology & Evolution	2397-334X	2397-334X	"ECOLOGY - SCIE; EVOLUTIONARY BIOLOGY - SCIE"	"10794"	15.460	"Q1; Q1"	3.43	7.06%	
JOURNAL OF THE AMERICAN CHEMICAL SOCIETY	0002-7863	1520-5126	"CHEMISTRY	 MULTIDISCIPLINARY - SCIE"	"609263"	15.419	"Q1"	2.77	6.78%	
NATURE STRUCTURAL & MOLECULAR BIOLOGY	1545-9993	1545-9985	"BIOPHYSICS - SCIE; BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE; CELL BIOLOGY - SCIE"	"32038"	15.369	"Q1; Q1; Q1"	2.86	0.53%	
ANGEWANDTE CHEMIE-INTERNATIONAL EDITION	1433-7851	1521-3773	"CHEMISTRY	 MULTIDISCIPLINARY - SCIE"	"410750"	15.336	"Q1"	2.38	15.29%	
Energy & Environmental Materials	N/A	2575-0356	"MATERIALS SCIENCE	 MULTIDISCIPLINARY - SCIE"	"729"	15.122	"Q1"	1.19	0.00%	
Nature Chemical Biology	1552-4450	1552-4469	"BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE"	"27428"	15.040	"Q1"	3.11	0.00%	
RENEWABLE & SUSTAINABLE ENERGY REVIEWS	1364-0321	1879-0690	"ENERGY & FUELS - SCIE; GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY - SCIE"	"132560"	14.982	"Q1; Q1"	1.05	8.06%	
Nature Communications	2041-1723	2041-1723	"MULTIDISCIPLINARY SCIENCES - SCIE"	"453215"	14.919	"Q1"	2.66	99.93%	
Protein & Cell	1674-800X	1674-8018	"CELL BIOLOGY - SCIE"	"5352"	14.870	"Q1"	1.21	100.00%	
FORBES	0015-6914	0015-6914	"BUSINESS	 FINANCE - SSCI"	"5512"	14.826	"Q1"	0.00	0.00%	
TRENDS IN PHARMACOLOGICAL SCIENCES	0165-6147	1873-3735	"PHARMACOLOGY & PHARMACY - SCIE"	"15308"	14.819	"Q1"	2.02	9.18%	
JOURNAL OF CLINICAL INVESTIGATION	0021-9738	1558-8238	"MEDICINE	 RESEARCH & EXPERIMENTAL - SCIE"	"132296"	14.808	"Q1"	3.78	8.88%	
JACC-Cardiovascular Imaging	1936-878X	1876-7591	"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE; RADIOLOGY	 NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE"	"14398"	14.805	"Q1; Q1"	3.41	10.02%	
JAMA Surgery	2168-6254	2168-6262	"SURGERY - SCIE"	"12793"	14.766	"Q1"	4.80	4.30%	
JAMA Cardiology	2380-6583	2380-6591	"CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE"	"11453"	14.676	"Q1"	3.10	6.18%	
Microbiome	2049-2618	2049-2618	"MICROBIOLOGY - SCIE"	"12051"	14.650	"Q1"	3.14	100.00%	
Bioactive Materials	N/A	2452-199X	"MATERIALS SCIENCE	 BIOMATERIALS - SCIE; ENGINEERING	 BIOMEDICAL - SCIE"	"2145"	14.593	"Q1; Q1"	1.69	100.00%	
ACS Central Science	2374-7943	2374-7951	"CHEMISTRY	 MULTIDISCIPLINARY - SCIE"	"11097"	14.553	"Q1"	2.54	100.00%	
Nature Astronomy	2397-3366	2397-3366	"ASTRONOMY & ASTROPHYSICS - SCIE"	"5524"	14.437	"Q1"	2.58	0.00%	
Nature Reviews Urology	1759-4812	1759-4820	"UROLOGY & NEPHROLOGY - SCIE"	"5267"	14.432	"Q1"	2.43	3.79%	
JOURNAL OF EXPERIMENTAL MEDICINE	0022-1007	1540-9538	"IMMUNOLOGY - SCIE; MEDICINE	 RESEARCH & EXPERIMENTAL - SCIE"	"74803"	14.307	"Q1; Q1"	3.42	96.77%	
MOLECULAR ASPECTS OF MEDICINE	0098-2997	1872-9452	"BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE; MEDICINE	 RESEARCH & EXPERIMENTAL - SCIE"	"8136"	14.235	"Q1; Q1"	1.68	24.31%	
BIOTECHNOLOGY ADVANCES	0734-9750	1873-1899	"BIOTECHNOLOGY & APPLIED MICROBIOLOGY - SCIE"	"23792"	14.227	"Q1"	1.49	10.19%	
Trends in Cancer	2405-8025	2405-8033	"ONCOLOGY - SCIE"	"4237"	14.226	"Q1"	1.49	12.36%	
Annual Review of Nuclear and Particle Science	0163-8998	1545-4134	"PHYSICS	 PARTICLES & FIELDS - SCIE; PHYSICS	 NUCLEAR - SCIE"	"3084"	14.219	"Q1; Q1"	n/a	42.86%	
Molecular Neurodegeneration	N/A	1750-1326	"NEUROSCIENCES - SCIE"	"6772"	14.195	"Q1"	2.45	100.00%	
Small Methods	2366-9608	2366-9608	"NANOSCIENCE & NANOTECHNOLOGY - SCIE; CHEMISTRY	 PHYSICAL - SCIE; MATERIALS SCIENCE	 MULTIDISCIPLINARY - SCIE"	"7188"	14.188	"Q1; Q1; Q1"	1.35	5.19%	
Science Advances	2375-2548	2375-2548	"MULTIDISCIPLINARY SCIENCES - SCIE"	"65205"	14.136	"Q1"	2.71	100.00%	
INTERNATIONAL JOURNAL OF INFORMATION MANAGEMENT	0268-4012	1873-4707	"INFORMATION SCIENCE & LIBRARY SCIENCE - SSCI"	"12245"	14.098	"Q1"	4.90	6.85%	
Annual Review of Ecology Evolution and Systematics	1543-592X	1545-2069	"ECOLOGY - SCIE; EVOLUTIONARY BIOLOGY - SCIE"	"23595"	13.915	"Q1; Q1"	n/a	0.00%	
Annual Review of Marine Science	1941-1405	N/A	"OCEANOGRAPHY - SCIE; MARINE & FRESHWATER BIOLOGY - SCIE; GEOCHEMISTRY & GEOPHYSICS - SCIE"	"5492"	13.850	"Q1; Q1; Q1"	n/a	1.64%	
TRENDS IN NEUROSCIENCES	0166-2236	1878-108X	"NEUROSCIENCES - SCIE"	"22858"	13.837	"Q1"	1.63	13.20%	
Annual Review of Cell and Developmental Biology	1081-0706	1530-8995	"CELL BIOLOGY - SCIE; DEVELOPMENTAL BIOLOGY - SCIE"	"11884"	13.827	"Q1; Q1"	n/a	1.35%	
Annual Review of Pharmacology and Toxicology	0362-1642	1545-4304	"TOXICOLOGY - SCIE; PHARMACOLOGY & PHARMACY - SCIE"	"9016"	13.820	"Q1; Q1"	n/a	2.15%	
TRENDS IN BIOCHEMICAL SCIENCES	0968-0004	1362-4326	"BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE"	"22003"	13.807	"Q1"	1.65	12.80%	
BRITISH JOURNAL OF SPORTS MEDICINE	0306-3674	1473-0480	"SPORT SCIENCES - SCIE"	"30986"	13.800	"Q1"	3.05	19.37%	
Journal for ImmunoTherapy of Cancer	N/A	2051-1426	"IMMUNOLOGY - SCIE; ONCOLOGY - SCIE"	"11042"	13.751	"Q1; Q1"	2.29	98.89%	
Annual Review of Medicine	0066-4219	1545-326X	"MEDICINE	 RESEARCH & EXPERIMENTAL - SCIE"	"7553"	13.739	"Q1"	n/a	1.04%	
Nature Human Behaviour	2397-3374	2397-3374	"NEUROSCIENCES - SCIE; MULTIDISCIPLINARY SCIENCES - SCIE; PSYCHOLOGY	 EXPERIMENTAL - SSCI"	"5549"	13.663	"Q1; Q1; Q1"	2.80	0.00%	
Annual Review of Food Science and Technology	1941-1413	1941-1421	"FOOD SCIENCE & TECHNOLOGY - SCIE"	"3253"	13.635	"Q1"	n/a	1.47%	
GENOME BIOLOGY	1474-760X	1474-760X	"GENETICS & HEREDITY - SCIE; BIOTECHNOLOGY & APPLIED MICROBIOLOGY - SCIE"	"54758"	13.583	"Q1; Q1"	3.04	100.00%	
Bone Research	2095-4700	2095-6231	"CELL & TISSUE ENGINEERING - SCIE"	"2665"	13.567	"Q1"	2.16	100.00%	
Nature Metabolism	N/A	2522-5812	"ENDOCRINOLOGY & METABOLISM - SCIE"	"1658"	13.511	"Q1"	3.18	0.52%	
JNCI-Journal of the National Cancer Institute	0027-8874	1460-2105	"ONCOLOGY - SCIE"	"42005"	13.506	"Q1"	2.35	17.91%	
BRAIN	0006-8950	1460-2156	"NEUROSCIENCES - SCIE; CLINICAL NEUROLOGY - SCIE"	"64627"	13.501	"Q1; Q1"	3.28	37.84%	
Nature Protocols	1754-2189	1750-2799	"BIOCHEMICAL RESEARCH METHODS - SCIE"	"50846"	13.491	"Q1"	3.23	1.45%	
Journal of King Saud University-Computer and Information Sciences	1319-1578	2213-1248	"COMPUTER SCIENCE	 INFORMATION SYSTEMS - SCIE"	"2372"	13.473	"Q1"	1.38	100.00%	
IEEE Transactions on Systems Man Cybernetics-Systems	2168-2216	2168-2232	"COMPUTER SCIENCE	 CYBERNETICS - SCIE; AUTOMATION & CONTROL SYSTEMS - SCIE"	"16901"	13.451	"Q1; Q1"	2.92	0.11%	
NATURAL PRODUCT REPORTS	0265-0568	1460-4752	"BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE; CHEMISTRY	 ORGANIC - SCIE; CHEMISTRY	 MEDICINAL - SCIE"	"13293"	13.423	"Q1; Q1; Q1"	1.95	17.62%	
INTERNATIONAL JOURNAL OF MANAGEMENT REVIEWS	1460-8545	1468-2370	"BUSINESS - SSCI; MANAGEMENT - SSCI"	"6670"	13.419	"Q1; Q1"	2.31	20.45%	
BIOLOGICAL PSYCHIATRY	0006-3223	1873-2402	"PSYCHIATRY - SCIE; NEUROSCIENCES - SCIE"	"50155"	13.382	"Q1; Q1"	2.91	19.58%	
Polymer Reviews	1558-3724	1558-3716	"POLYMER SCIENCE - SCIE"	"2958"	13.282	"Q1"	0.95	3.95%	
Small	1613-6810	1613-6829	"NANOSCIENCE & NANOTECHNOLOGY - SCIE; PHYSICS	 CONDENSED MATTER - SCIE; CHEMISTRY	 PHYSICAL - SCIE; MATERIALS SCIENCE	 MULTIDISCIPLINARY - SCIE; CHEMISTRY	 MULTIDISCIPLINARY - SCIE; PHYSICS	 APPLIED - SCIE"	"77926"	13.281	"Q1; Q1; Q1; Q1; Q1; Q1"	1.93	5.89%	
CHEMICAL ENGINEERING JOURNAL	1385-8947	1873-3212	"ENGINEERING	 CHEMICAL - SCIE; ENGINEERING	 ENVIRONMENTAL - SCIE"	"180395"	13.273	"Q1; Q1"	2.04	1.78%	
Materials Horizons	2051-6347	2051-6355	"MATERIALS SCIENCE	 MULTIDISCIPLINARY - SCIE; CHEMISTRY	 MULTIDISCIPLINARY - SCIE"	"10285"	13.266	"Q1; Q1"	2.11	15.29%	
Molecular Plant	1674-2052	1752-9867	"BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE; PLANT SCIENCES - SCIE"	"15778"	13.164	"Q1; Q1"	2.87	21.73%	
ALLERGY	0105-4538	1398-9995	"IMMUNOLOGY - SCIE; ALLERGY - SCIE"	"25131"	13.146	"Q1; Q1"	2.11	22.98%	
Laser & Photonics Reviews	1863-8880	1863-8899	"PHYSICS	 CONDENSED MATTER - SCIE; PHYSICS	 APPLIED - SCIE; OPTICS - SCIE"	"9217"	13.138	"Q1; Q1; Q1"	2.31	13.24%	
ACS Catalysis	2155-5435	2155-5435	"CHEMISTRY	 PHYSICAL - SCIE"	"92236"	13.084	"Q1"	1.89	6.71%	
Annual Review of Phytopathology	0066-4286	1545-2107	"PLANT SCIENCES - SCIE"	"10431"	13.078	"Q1"	n/a	2.94%	
Advances in Nano Research	2287-237X	2287-2388	"NANOSCIENCE & NANOTECHNOLOGY - SCIE; MATERIALS SCIENCE	 MULTIDISCIPLINARY - SCIE"	"1164"	13.052	"Q1; Q1"	1.68	0.00%	
JOURNAL OF PINEAL RESEARCH	0742-3098	1600-079X	"ENDOCRINOLOGY & METABOLISM - SCIE; NEUROSCIENCES - SCIE; PHYSIOLOGY - SCIE"	"12492"	13.007	"Q1; Q1; Q1"	3.51	10.50%	
IMMUNOLOGICAL REVIEWS	0105-2896	1600-065X	"IMMUNOLOGY - SCIE"	"19337"	12.988	"Q1"	1.60	16.92%	
ADVANCES IN COLLOID AND INTERFACE SCIENCE	0001-8686	1873-3727	"CHEMISTRY	 PHYSICAL - SCIE"	"18985"	12.984	"Q1"	1.50	4.55%	
Annual Review of Biophysics	1936-122X	1936-1238	"BIOPHYSICS - SCIE"	"3782"	12.981	"Q1"	n/a	0.00%	
Information Fusion	1566-2535	1872-6305	"COMPUTER SCIENCE	 ARTIFICIAL INTELLIGENCE - SCIE; COMPUTER SCIENCE	 THEORY & METHODS - SCIE"	"9059"	12.975	"Q1; Q1"	4.34	3.48%	
ANNALS OF SURGERY	0003-4932	1528-1140	"SURGERY - SCIE"	"64045"	12.969	"Q1"	4.52	3.03%	
MEDICINAL RESEARCH REVIEWS	0198-6325	1098-1128	"PHARMACOLOGY & PHARMACY - SCIE; CHEMISTRY	 MEDICINAL - SCIE"	"6835"	12.944	"Q1; Q1"	2.28	10.98%	
JOURNAL OF PHOTOCHEMISTRY AND PHOTOBIOLOGY C-PHOTOCHEMISTRY REVIEWS	1389-5567	1873-2739	"CHEMISTRY	 PHYSICAL - SCIE"	"4551"	12.927	"Q1"	0.77	0.00%	
Journal of Cachexia Sarcopenia and Muscle	2190-5991	2190-6009	"GERIATRICS & GERONTOLOGY - SCIE; MEDICINE	 GENERAL & INTERNAL - SCIE"	"5908"	12.910	"Q1; Q1"	3.07	100.00%	
BIOLOGICAL REVIEWS	1464-7931	1469-185X	"BIOLOGY - SCIE"	"17047"	12.820	"Q1"	2.87	27.74%	
COMPREHENSIVE REVIEWS IN FOOD SCIENCE AND FOOD SAFETY	1541-4337	1541-4337	"FOOD SCIENCE & TECHNOLOGY - SCIE"	"10528"	12.811	"Q1"	1.36	3.13%	
Annual Review of Earth and Planetary Sciences	0084-6597	1545-4495	"ASTRONOMY & ASTROPHYSICS - SCIE; GEOSCIENCES	 MULTIDISCIPLINARY - SCIE"	"10307"	12.810	"Q1; Q1"	n/a	3.03%	
CLINICAL PSYCHOLOGY REVIEW	0272-7358	1873-7811	"PSYCHOLOGY	 CLINICAL - SSCI"	"23058"	12.792	"Q1"	2.04	11.48%	
Lancet HIV	2352-3018	2352-3018	"IMMUNOLOGY - SCIE; INFECTIOUS DISEASES - SCIE"	"5368"	12.767	"Q1; Q1"	2.99	12.81%	
npj Flexible Electronics	N/A	2397-4621	"ENGINEERING	 ELECTRICAL & ELECTRONIC - SCIE; MATERIALS SCIENCE	 MULTIDISCIPLINARY - SCIE"	"810"	12.740	"Q1; Q1"	1.90	100.00%	
Journal of Materials Chemistry A	2050-7488	2050-7496	"ENERGY & FUELS - SCIE; CHEMISTRY	 PHYSICAL - SCIE; MATERIALS SCIENCE	 MULTIDISCIPLINARY - SCIE"	"193793"	12.732	"Q1; Q1; Q1"	1.90	5.22%	
Annual Review of Physical Chemistry	0066-426X	1545-1593	"CHEMISTRY	 PHYSICAL - SCIE"	"9090"	12.703	"Q1"	n/a	0.00%	
CANCER RESEARCH	0008-5472	1538-7445	"ONCOLOGY - SCIE"	"159236"	12.701	"Q1"	2.05	1.61%	
ACADEMY OF MANAGEMENT REVIEW	0363-7425	1930-3807	"BUSINESS - SSCI; MANAGEMENT - SSCI"	"47985"	12.638	"Q1; Q1"	3.08	0.00%	
LAB ANIMAL	0093-7355	1548-4475	"VETERINARY SCIENCES - SCIE"	"1005"	12.625	"Q1"	2.99	0.00%	
BEHAVIORAL AND BRAIN SCIENCES	0140-525X	1469-1825	"BEHAVIORAL SCIENCES - SCIE; NEUROSCIENCES - SCIE; PSYCHOLOGY	 BIOLOGICAL - SSCI"	"11610"	12.579	"Q1; Q1; Q1"	2.99	0.00%	
REVIEW OF EDUCATIONAL RESEARCH	0034-6543	1935-1046	"EDUCATION & EDUCATIONAL RESEARCH - SSCI"	"13654"	12.565	"Q1"	5.54	12.16%	
TRENDS IN FOOD SCIENCE & TECHNOLOGY	0924-2244	1879-3053	"FOOD SCIENCE & TECHNOLOGY - SCIE"	"27289"	12.563	"Q1"	1.51	7.21%	
CRITICAL REVIEWS IN ENVIRONMENTAL SCIENCE AND TECHNOLOGY	1064-3389	1547-6537	"ENVIRONMENTAL SCIENCES - SCIE"	"8881"	12.561	"Q1"	0.84	5.70%	
IEEE SIGNAL PROCESSING MAGAZINE	1053-5888	1558-0792	"ENGINEERING	 ELECTRICAL & ELECTRONIC - SCIE"	"12559"	12.551	"Q1"	2.99	0.00%	
CLINICAL CANCER RESEARCH	1078-0432	1557-3265	"ONCOLOGY - SCIE"	"105958"	12.531	"Q1"	2.52	1.17%	
BIOMATERIALS	0142-9612	1878-5905	"MATERIALS SCIENCE	 BIOMATERIALS - SCIE; ENGINEERING	 BIOMEDICAL - SCIE"	"126871"	12.479	"Q1; Q1"	2.70	6.97%	
Annual Review of Neuroscience	0147-006X	1545-4126	"NEUROSCIENCES - SCIE"	"14699"	12.449	"Q1"	n/a	0.00%	
EARTH-SCIENCE REVIEWS	0012-8252	1872-6828	"GEOSCIENCES	 MULTIDISCIPLINARY - SCIE"	"27304"	12.413	"Q1"	2.11	11.98%	
PHARMACOLOGY & THERAPEUTICS	0163-7258	1879-016X	"PHARMACOLOGY & PHARMACY - SCIE"	"21235"	12.310	"Q1"	1.79	12.66%	
NEURO-ONCOLOGY	1522-8517	1523-5866	"CLINICAL NEUROLOGY - SCIE; ONCOLOGY - SCIE"	"17812"	12.300	"Q1; Q1"	2.50	12.06%	
TRAC-TRENDS IN ANALYTICAL CHEMISTRY	0165-9936	1879-3142	"CHEMISTRY	 ANALYTICAL - SCIE"	"25063"	12.296	"Q1"	1.13	3.88%	
DEVELOPMENTAL CELL	1534-5807	1878-1551	"CELL BIOLOGY - SCIE; DEVELOPMENTAL BIOLOGY - SCIE"	"36177"	12.270	"Q1; Q1"	2.45	13.13%	
