Journal name,ISSN,eISSN,Category,Total Citations,2020 JIF,JIF Quartile,2020 JCI,% of OA Gold
Arrhythmia & Electrophysiology Review,2050-3369,2050-3377,"CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","605",n/a,"n/a",0.64,64.71%,
Clinical Medicine Insights-Cardiology,1179-5468,1179-5468,"CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","541",n/a,"n/a",0.45,100.00%,
Journal of Cardiovascular Emergencies,2457-5518,2457-550X,"CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","40",n/a,"n/a",0.20,100.00%,
Journal of the Saudi Heart Association,1016-7315,2212-5043,"CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","428",n/a,"n/a",0.23,100.00%,
Rational Pharmacotherapy in Cardiology,1819-6446,2225-3653,"CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","216",n/a,"n/a",0.08,100.00%,
Research Reports in Clinical Cardiology,1179-8475,1179-8475,"CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","60",n/a,"n/a",0.15,100.00%,
Expert Review  of Cardiovascular Therapy,1477-9072,1744-8344,"CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","2,385",n/a,"n/a",0.39,2.33%,
Cardiovascular Endocrinology & Metabolism,2574-0954,2574-0954,"CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","102",n/a,"n/a",0.30,0.00%,
Cardiovascular Revascularization Medicine,1553-8389,1878-0938,"CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","1,696",n/a,"n/a",0.37,1.37%,
American Journal of Cardiovascular Disease,2160-200X,2160-200X,"CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","474",n/a,"n/a",0.35,0.00%,
Cardiovascular Innovations and Applications,2009-8618,2009-8782,"CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","35",n/a,"n/a",0.04,100.00%,
Cardiovascular Intervention and Therapeutics,1868-4300,1868-4297,"CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","666",n/a,"n/a",0.42,14.12%,
International Cardiovascular Research Journal,2251-9130,2251-9149,"CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","126",n/a,"n/a",0.06,0.00%,
Therapeutic Advances in Cardiovascular Disease,1753-9447,1753-9455,"CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","238",n/a,"n/a",0.46,49.02%,
Archives of Cardiovascular Diseases Supplements,1878-6480,1878-6502,"CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","10",n/a,"n/a",0.00,0.00%,
Journal Of Cardiovascular and Thoracic Research,2008-5117,2008-6830,"CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","486",n/a,"n/a",0.29,100.00%,
Zeitschrift fur Herz Thorax und Gefasschirurgie,0930-9225,1435-1277,"CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","35",n/a,"n/a",0.04,3.55%,
Revista de la Federacion Argentina de Cardiologia,0326-646X,1666-5694,"CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","36",n/a,"n/a",0.03,0.00%,
Indian Journal of Thoracic and Cardiovascular Surgery,0970-9134,0973-7723,"CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","134",n/a,"n/a",0.03,3.15%,
World Journal for Pediatric and Congenital Heart Surgery,2150-1351,2150-0136,"CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","966",n/a,"n/a",0.23,3.91%,
Indian Heart Journal,0019-4832,2213-3763,"CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","1,934",n/a,"n/a",0.32,100.00%,
Aktuelle Kardiologie,2193-5203,2193-5211,"CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","15",n/a,"n/a",0.01,0.00%,
ARYA Atherosclerosis,1735-3955,2251-6638,"CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","600",n/a,"n/a",0.23,100.00%,
Cardiology Research,1923-2829,1923-2837,"CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","426",n/a,"n/a",0.24,96.26%,
Future Cardiology,1479-6678,1744-8298,"CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","920",n/a,"n/a",0.27,7.14%,
Cardiogenetics,2035-8253,2035-8148,"CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","29",n/a,"n/a",0.07,100.00%,
COR ET VASA,0010-8650,1803-7712,"CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","256",n/a,"n/a",0.05,51.47%,
Open Heart,2053-3624,2053-3624,"CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","2,096",n/a,"n/a",0.52,99.77%,
Turk Kardiyoloji Dernegi Arsivi-Archives of the Turkish Society of Cardiology,1016-5169,1016-5169,"CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","865",n/a,"n/a",0.15,100.00%,
CorSalud,2078-7170,2078-7170,"CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","181",n/a,"n/a",0.04,100.00%,
Kardiologe,1864-9718,1864-9726,"CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","182",n/a,"n/a",0.17,2.91%,
