"Journal Data Filtered By:  Selected Categories: CARDIAC & CARDIOVASCULAR SYSTEMS Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2021 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2021 JIF,JIF Quartile,2021 JCI,% of OA Gold
"Postepy w Kardiologii Interwencyjnej","POSTEP KARDIOL INTER","1734-9338","1897-4295","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","446","1.065","Q4","0.23","100"%,
"CARDIOLOGY IN THE YOUNG","CARDIOL YOUNG","1047-9511","1467-1107","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","3,990","1.023","Q4","0.31","6.23"%,
"Cardiovascular Journal of Africa","CARDIOVASC J AFR","1995-1892","1680-0745","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","1,445","0.802","Q4","0.21","0"%,
"HEART SURGERY FORUM","HEART SURG FORUM","1098-3511","1522-6662","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","774","0.699","Q4","0.19","94"%,
"KARDIOLOGIYA","KARDIOLOGIYA","0022-9040","N/A","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","636","0.513","Q4","0.1","84.89"%,
"Turk Kardiyoloji Dernegi Arsivi-Archives of the Turkish Society of Cardiology","TURK KARDIYOL DERN A","1016-5169","1016-5169","CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","799","N/A","N/A","0.18","98.09"%,
"CorSalud","CORSALUD","2078-7170","2078-7170","CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","73","N/A","N/A","0.04","0"%,
"Kardiologe","KARDIOLOGE","1864-9718","1864-9726","CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","168","N/A","N/A","0.18","3.51"%,
"Open Heart","OPEN HEART","2053-3624","2053-3624","CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","2,714","N/A","N/A","0.56","96.56"%,
"COR ET VASA","COR VASA","0010-8650","1803-7712","CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","299","N/A","N/A","0.05","95.88"%,
"Heart Views","HEART VIEWS","1995-705X","0976-5123","CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","375","N/A","N/A","0.12","54.79"%,
"Cardiogenetics","CARDIOGENETICS","2035-8253","2035-8148","CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","18","N/A","N/A","0.05","91.18"%,
"Cardio-Oncology","CARDIO-ONCOLOGY","N/A","2057-3804","CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","196","N/A","N/A","0.47","100"%,
"JTCVS Techniques","JTCVS TECHNIQUES","2666-2507","2666-2507","CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","433","N/A","N/A","0.69","100"%,
"CVIR Endovascular","CVIR ENDOVASC","N/A","2520-8934","CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","261","N/A","N/A","0.26","99.03"%,
"Future Cardiology","FUTUR CARDIOL","1479-6678","1744-8298","CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","1,057","N/A","N/A","0.23","9.39"%,
"Cardiology Research","CARDIOL RES","1923-2829","1923-2837","CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","560","N/A","N/A","0.3","98.8"%,
"Heart International","HEART INT","2036-2579","2036-2579","CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","147","N/A","N/A","0.06","78.38"%,
"ARYA Atherosclerosis","ARYA ATHEROSCLER","1735-3955","2251-6638","CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","648","N/A","N/A","0.19","0"%,
"Aktuelle Kardiologie","AKTUELLE KARDIOL","2193-5203","2193-5211","CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","27","N/A","N/A","0.02","5.56"%,
"Indian Heart Journal","INDIAN HEART J","0019-4832","2213-3763","CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","2,380","N/A","N/A","0.31","99.38"%,
"Iranian Heart Journal","IRAN HEART J","1735-7306","1735-7306","CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","42","N/A","N/A","0.03","0"%,
"Journal of Arrhythmia","J ARRYTHM","1880-4276","1883-2148","CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","1,429","N/A","N/A","0.29","95.95"%,
"Cardiology and Therapy","CARDIOL THER","2193-8261","2193-6544","CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","457","N/A","N/A","0.5","99.17"%,
"Egyptian Heart Journal","EGYPT HEART J","1110-2608","2090-911X","CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","446","N/A","N/A","0.22","99.07"%,
"Insuficiencia Cardiaca","INSUF CARD","1850-1044","1852-3862","CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","38","N/A","N/A","0.03","0"%,
"Journal fur Hypertonie","J HYPERTON","1028-2327","1680-9378","CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","3","N/A","N/A","0","0"%,
"Nepalese Heart Journal","NEPAL HEART J","2091-2978","2091-2978","CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","58","N/A","N/A","0.08","88"%,
"Pakistan Heart Journal","PAK HEART J","0048-2706","2227-9199","CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","64","N/A","N/A","0.02","62.69"%,
"IJC Heart & Vasculature","IJC HEART VASC","N/A","2352-9067","CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","1,568","N/A","N/A","0.59","99.38"%,
"Journal fur Kardiologie","J KARDIOL","1024-0098","1680-936X","CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","38","N/A","N/A","0.06","0"%,
"CURRENT CARDIOLOGY REVIEWS","CURR CARDIOL REV","1573-403X","1875-6557","CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","1,798","N/A","N/A","0.41","0"%,
"Case Reports in Cardiology","CASE REP CARDIOL","2090-6404","2090-6412","CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","502","N/A","N/A","0.14","99.2"%,
"Echo Research and Practice","ECHO RES PRACT","2055-0464","2055-0464","CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","473","N/A","N/A","0.44","98.28"%,
"European Cardiology Review","EUR CARDIOL REV","1758-3756","1758-3756","CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","702","N/A","N/A","1.08","98.26"%,
"JRSM Cardiovascular Disease","JRSM CARDIOVASC DIS","N/A","2048-0040","CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","379","N/A","N/A","0.25","100"%,
"Journal of Echocardiography","J ECHOCARDIOGR","1349-0222","1880-344X","CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","365","N/A","N/A","0.34","13.21"%,
"World Journal of Cardiology","WORLD J CARDIOL","1949-8462","1949-8462","CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","1,916","N/A","N/A","0.35","98.63"%,
"Annals of Pediatric Cardiology","ANN PEDIAT CARDIOL","0974-2069","0974-5149","CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","686","N/A","N/A","0.17","92.89"%,
"Hipertension y Riesgo Vascular","HIPERTEN RIESGO VASC","1889-1837","1989-4805","CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","101","N/A","N/A","0.17","1.47"%,
"Giornale Italiano di Cardiologia","G ITAL CARDIOL","1827-6806","1972-6481","CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","704","N/A","N/A","0.17","0"%,
"ARCHIVOS DE CARDIOLOGIA DE MEXICO","ARCH CARDIOL MEX","1405-9940","1405-9940","CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","278","N/A","N/A","0.05","91.18"%,
"Current Cardiovascular Risk Reports","CURR CARDIOVASC RISK","1932-9520","1932-9563","CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","542","N/A","N/A","0.17","9.3"%,
"European Heart Journal-Case Reports","EUR HEART J-CASE REP","N/A","2514-2119","CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","784","N/A","N/A","0.17","99.45"%,
"Research in Cardiovascular Medicine","RES CARDIOVASC MED","2251-9572","2251-9580","CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","166","N/A","N/A","0.05","87.88"%,
"Journal of Cardiovascular Echography","J CARDIOVASC ECHOGR","2211-4122","2347-193X","CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","237","N/A","N/A","0.13","0"%,
"Open Cardiovascular Medicine Journal","OPEN CARDIOVASC MED","N/A","1874-1924","CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","425","N/A","N/A","0.3","100"%,
"Arrhythmia & Electrophysiology Review","ARRHYTH ELECTROPHYSI","2050-3369","2050-3377","CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","708","N/A","N/A","0.69","99.02"%,
"Clinical Medicine Insights-Cardiology","CLIN MED INSIGHTS-CA","1179-5468","1179-5468","CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","581","N/A","N/A","0.49","98.11"%,
"Journal of Cardiovascular Emergencies","J CARDIOVASC EMERG","2457-5518","2457-550X","CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","30","N/A","N/A","0.19","96.08"%,
"ASIAN CARDIOVASCULAR & THORACIC ANNALS","ASIAN CARD THORAC AN","0218-4923","1816-5370","CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","848","N/A","N/A","0.13","2.14"%,
"Journal of the Saudi Heart Association","J SAUDI HEART ASSOC","1016-7315","2212-5043","CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","448","N/A","N/A","0.17","94.67"%,
"Rational Pharmacotherapy in Cardiology","RATION PHARMACOTHER","1819-6446","2225-3653","CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","192","N/A","N/A","0.06","94.96"%,
"Expert Review of Cardiovascular Therapy","EXPERT REV CARDIOVAS","1477-9072","1744-8344","CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","2,600","N/A","N/A","0.39","5.47"%,
"Research Reports in Clinical Cardiology","RES REP CLIN CARDIOL","1179-8475","1179-8475","CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","70","N/A","N/A","0.09","90.48"%,
"Cardiovascular Endocrinology & Metabolism","CARDIOVASC ENDOCR ME","2574-0954","2574-0954","CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","158","N/A","N/A","0.41","20.27"%,
"Cardiovascular Revascularization Medicine","CARDIOVASC REVASCULA","1553-8389","1878-0938","CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","2,006","N/A","N/A","0.38","2.24"%,
"American Journal of Cardiovascular Disease","AM J CARDIOVASC DIS","2160-200X","2160-200X","CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","525","N/A","N/A","0.23","0"%,
"Cardiovascular Innovations and Applications","CARDIOVASC INNOV APP","2009-8618","2009-8782","CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","40","N/A","N/A","0.03","99"%,
"Cardiovascular Intervention and Therapeutics","CARDIOVASC INTERV TH","1868-4300","1868-4297","CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","765","N/A","N/A","0.58","17.74"%,
"International Cardiovascular Research Journal","INT CARDIOVASC RES J","2251-9130","2251-9149","CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","127","N/A","N/A","0.05","0"%,
"Therapeutic Advances in Cardiovascular Disease","THER ADV CARDIO DIS","1753-9447","1753-9455","CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","718","N/A","N/A","0.42","100"%,
"Archives of Cardiovascular Diseases Supplements","ARCH CARDIOVAS DIS S","1878-6480","1878-6502","CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","75","N/A","N/A","0","0"%,
"Journal Of Cardiovascular and Thoracic Research","J CARDIOVASC THORAC","2008-5117","2008-6830","CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","555","N/A","N/A","0.25","93.21"%,
"Zeitschrift fur Herz Thorax und Gefasschirurgie","Z HERZ THORAX GEFASS","0930-9225","1435-1277","CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","54","N/A","N/A","0.04","4.76"%,
"Revista de la Federacion Argentina de Cardiologia","REV FED ARGENT CARDI","0326-646X","1666-5694","CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","31","N/A","N/A","0.02","0"%,
"Journal of the Practice of Cardiovascular Sciences","J PRACT CARDIOVASC S","2395-5414","2454-2830","CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","97","N/A","N/A","0.05","76.56"%,
"Indian Journal of Vascular and Endovascular Surgery","INDIAN J VASCULAR EN","0972-0820","2394-0999","CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","30","N/A","N/A","0.05","81.34"%,
"Indian Journal of Thoracic and Cardiovascular Surgery","INDIAN J THORAC CARD","0970-9134","0973-7723","CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","272","N/A","N/A","0.06","3.82"%,
"World Journal for Pediatric and Congenital Heart Surgery","WORLD J PEDIATR CONG","2150-1351","2150-0136","CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","1,227","N/A","N/A","0.22","3.62"%,

Copyright (c) 2022 Clarivate 
By exporting the selected data; you agree to the data usage policy set forth in the Terms of Use 
