Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2022 JIF,JIF Quartile,2022 JCI,% of OA Gold
"Journal of Cardiothoracic Surgery","J CARDIOTHORAC SURG","N/A","1749-8090","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","3,728","1.6","Q4","0.47","99.9"%,
"Minerva Cardiology and Angiology","MINERVA CARDIOL ANGI","2724-5683","2724-5772","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","656","1.6","Q4","0.38","0"%,
"EUROPEAN HEART JOURNAL SUPPLEMENTS","EUR HEART J SUPPL","1520-765X","1554-2815","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","1,119","1.6","Q4","0.35","88.65"%,
"ACTA CARDIOLOGICA","ACTA CARDIOL","0001-5385","1784-973X","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","1,414","1.6","Q4","0.33","2.79"%,
"Journal of Echocardiography","J ECHOCARDIOGR","1349-0222","1880-344X","CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","383","1.6","N/A","0.33","11.21"%,
"JRSM Cardiovascular Disease","JRSM CARDIOVASC DIS","N/A","2048-0040","CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","388","1.6","N/A","0.3","100"%,
"THORACIC AND CARDIOVASCULAR SURGEON","THORAC CARDIOV SURG","0171-6425","1439-1902","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","2,291","1.5","Q4","0.53","9.23"%,
"HEART AND VESSELS","HEART VESSELS","0910-8327","1615-2573","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","3,216","1.5","Q4","0.39","13.26"%,
"International Heart Journal","INT HEART J","1349-2365","1349-3299","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","2,437","1.5","Q4","0.38","100"%,
"ECHOCARDIOGRAPHY-A JOURNAL OF CARDIOVASCULAR ULTRASOUND AND ALLIED TECHNIQUES","ECHOCARDIOGR-J CARD","0742-2822","1540-8175","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","4,050","1.5","Q4","0.33","6.94"%,
"JOURNAL OF INVASIVE CARDIOLOGY","J INVASIVE CARDIOL","1042-3931","1557-2501","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","1,968","1.5","Q4","0.33","0"%,
"Indian Heart Journal","INDIAN HEART J","0019-4832","2213-3763","CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","2,243","1.5","N/A","0.29","97.6"%,
"REC-Interventional Cardiology","REC-INTERV CARDIOL","2604-7306","2604-7276","CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","95","1.4","N/A","0.41","93.83"%,
"JOURNAL OF CARDIOVASCULAR SURGERY","J CARDIOVASC SURG","0021-9509","1827-191X","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","2,074","1.4","Q4","0.36","2.34"%,
"Annals of Thoracic and Cardiovascular Surgery","ANN THORAC CARDIOVAS","1341-1098","2186-1005","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","1,232","1.3","Q4","0.48","98.44"%,
"Brazilian Journal of Cardiovascular Surgery","BRAZ J CARDIOV SURG","0102-7638","1678-9741","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","1,403","1.3","Q4","0.36","95.45"%,
"Journal of Electrocardiology","J ELECTROCARDIOL","0022-0736","1532-8430","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","3,264","1.3","Q4","0.33","9.45"%,
"Anatolian Journal of Cardiology","ANATOL J CARDIOL","2149-2263","2149-2271","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","1,802","1.3","Q4","0.3","66.49"%,
"American Journal of Cardiovascular Disease","AM J CARDIOVASC DIS","2160-200X","2160-200X","CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","540","1.3","N/A","0.27","0"%,
"Postepy w Kardiologii Interwencyjnej","POSTEP KARDIOL INTER","1734-9338","1897-4295","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","474","1.3","Q4","0.23","100"%,
"General Thoracic and Cardiovascular Surgery","GEN THORAC CARDIOVAS","1863-6705","1863-6713","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","2,381","1.2","Q4","0.37","8.01"%,
"PERFUSION-UK","PERFUSION-UK","0267-6591","1477-111X","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","1,968","1.2","Q4","0.3","8.7"%,
"CVIR Endovascular","CVIR ENDOVASC","N/A","2520-8934","CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","330","1.2","N/A","0.28","99.14"%,
"Journal Of Cardiovascular and Thoracic Research","J CARDIOVASC THORAC","2008-5117","2008-6830","CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","544","1.1","N/A","0.26","89.54"%,
"Egyptian Heart Journal","EGYPT HEART J","1110-2608","2090-911X","CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","499","1.1","N/A","0.24","99.63"%,
"CARDIOLOGY IN THE YOUNG","CARDIOL YOUNG","1047-9511","1467-1107","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","4,087","1","Q4","0.31","13.26"%,
"European Heart Journal-Case Reports","EUR HEART J-CASE REP","N/A","2514-2119","CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","1,194","1","N/A","0.2","94.96"%,
"World Journal for Pediatric and Congenital Heart Surgery","WORLD J PEDIATR CONG","2150-1351","2150-0136","CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","1,178","0.9","N/A","0.22","4.45"%,
"TEXAS HEART INSTITUTE JOURNAL","TEX HEART I J","0730-2347","1526-6702","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","2,116","0.9","Q4","0.16","94.15"%,
"Kardiologie","KARDIOLOGIE","2731-7129","2731-7137","CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","208","0.9","N/A","N/A","6.3"%,
"Journal of the Saudi Heart Association","J SAUDI HEART ASSOC","1016-7315","2212-5043","CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","439","0.8","N/A","0.18","95.06"%,
"Turk Kardiyoloji Dernegi Arsivi-Archives of the Turkish Society of Cardiology","TURK KARDIYOL DERN A","1016-5169","1308-4488","CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","764","0.8","N/A","0.18","59.92"%,
"Open Cardiovascular Medicine Journal","OPEN CARDIOVASC MED","N/A","1874-1924","CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","383","0.8","N/A","0.15","96.55"%,
"Journal of Cardiovascular Echography","J CARDIOVASC ECHOGR","2211-4122","2347-193X","CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","254","0.8","N/A","0.14","0"%,
"Cardiothoracic Surgeon","CARDIOTHORAC SURG","2636-333X","2662-2203","CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","45","0.8","N/A","0.11","100"%,
"Annals of Pediatric Cardiology","ANN PEDIAT CARDIOL","0974-2069","0974-5149","CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","668","0.7","N/A","0.2","93.6"%,
"Cardiovascular Journal of Africa","CARDIOVASC J AFR","1995-1892","1680-0745","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","1,211","0.7","Q4","0.17","0"%,
"ASIAN CARDIOVASCULAR & THORACIC ANNALS","ASIAN CARD THORAC AN","0218-4923","1816-5370","CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","1,204","0.7","N/A","0.16","3.02"%,
"Indian Journal of Thoracic and Cardiovascular Surgery","INDIAN J THORAC CARD","0970-9134","0973-7723","CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","436","0.7","N/A","0.11","4.15"%,
"HEART SURGERY FORUM","HEART SURG FORUM","1098-3511","1522-6662","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","781","0.6","Q4","0.21","95.8"%,
"ARYA Atherosclerosis","ARYA ATHEROSCLER","1735-3955","2251-6638","CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","584","0.6","N/A","0.16","0"%,
"Cardiogenetics","CARDIOGENETICS","2035-8253","2035-8148","CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","41","0.6","N/A","0.16","98.15"%,
"Hipertension y Riesgo Vascular","HIPERTEN RIESGO VASC","1889-1837","1989-4805","CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","141","0.6","N/A","0.16","0"%,
"Case Reports in Cardiology","CASE REP CARDIOL","2090-6404","2090-6412","CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","534","0.6","N/A","0.14","99.12"%,
"Giornale Italiano di Cardiologia","G ITAL CARDIOL","1827-6806","1972-6481","CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","574","0.5","N/A","0.15","0"%,
"Heart Views","HEART VIEWS","1995-705X","0976-5123","CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","412","0.5","N/A","0.12","45.03"%,
"KARDIOLOGIYA","KARDIOLOGIYA","0022-9040","N/A","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","587","0.5","Q4","0.12","74.06"%,
"ARCHIVOS DE CARDIOLOGIA DE MEXICO","ARCH CARDIOL MEX","1405-9940","1405-9940","CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","288","0.5","N/A","0.08","97.14"%,
"Cardiovascular Innovations and Applications","CARDIOVASC INNOV APP","2009-8618","2009-8782","CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","56","0.5","N/A","0.06","99.04"%,
"Journal of Cardiovascular Emergencies","J CARDIOVASC EMERG","2457-5518","2457-550X","CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","33","0.4","N/A","0.16","96"%,
"Research Reports in Clinical Cardiology","RES REP CLIN CARDIOL","1179-8475","1179-8475","CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","78","0.4","N/A","0.11","100"%,
"Congenital Heart Disease","CONGENIT HEART DIS","1747-079X","1747-0803","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE","2,061","0.3","Q4","0.35","100"%,
"Insuficiencia Cardiaca","INSUF CARD","1850-1044","1852-3862","CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","30","0.3","N/A","0.04","0"%,
"Research in Cardiovascular Medicine","RES CARDIOVASC MED","2251-9572","2251-9580","CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","179","0.3","N/A","0.04","100"%,
"International Cardiovascular Research Journal","INT CARDIOVASC RES J","2251-9130","2251-9149","CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","138","0.2","N/A","0.06","0"%,
"Journal fur Kardiologie","J KARDIOL","1024-0098","1680-936X","CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","29","0.2","N/A","0.06","0"%,
"Nepalese Heart Journal","NEPAL HEART J","2091-2978","2091-2978","CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","39","0.2","N/A","0.06","89.23"%,
"COR ET VASA","COR VASA","0010-8650","1803-7712","CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","258","0.2","N/A","0.05","92.19"%,
"Rational Pharmacotherapy in Cardiology","RATION PHARMACOTHER","1819-6446","2225-3653","CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","156","0.2","N/A","0.05","91.1"%,
"Heart International","HEART INT","2036-2579","2036-2579","CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","125","0.2","N/A","0.03","100"%,
"Indian Journal of Vascular and Endovascular Surgery","INDIAN J VASCULAR EN","0972-0820","2394-0999","CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","66","0.1","N/A","0.04","95.02"%,
"Journal of the Practice of Cardiovascular Sciences","J PRACT CARDIOVASC S","2395-5414","2454-2830","CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","137","0.1","N/A","0.04","74.59"%,
"Aktuelle Kardiologie","AKTUELLE KARDIOL","2193-5203","2193-5211","CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","21","0.1","N/A","0.03","4.61"%,
"Iranian Heart Journal","IRAN HEART J","1735-7306","1735-7306","CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","63","0.1","N/A","0.03","0"%,
"Pakistan Heart Journal","PAK HEART J","0048-2706","2227-9199","CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","62","0.1","N/A","0.03","88.89"%,
"CorSalud","CORSALUD","2078-7170","2078-7170","CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","26","0.1","N/A","0.02","0"%,
"Zeitschrift fur Herz Thorax und Gefasschirurgie","Z HERZ THORAX GEFASS","0930-9225","1435-1277","CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","34","0.1","N/A","0.02","4.24"%,
"Revista de la Federacion Argentina de Cardiologia","REV FED ARGENT CARDI","0326-646X","1666-5694","CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","21","0.1","N/A","0.01","0"%,
"Journal fur Hypertonie","J HYPERTON","1028-2327","1680-9378","CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI","3","<0.1","N/A","0","0"%,
